x,y,label,split,text,accepted
8.5584,-2.0502887,ABSTAIN,train,write a haiku about control dot on alpha lane 6,False
9.684725,-2.0121782,MOVE_UP,test,raise the west cell sample 2 by a single cell on charlie lane 2,True
-8.122575,-0.051565163,MOVE_UP,train,shift the demo bot to the upper cell on alpha lane 5,True
-3.1984825,-1.154969,ABSTAIN,train,send private tokens for vector sprite on alpha lane 12,False
5.774941,-0.90020645,RESET,train,home position tiny robot alpha lane 3,True
-2.4309492,-0.5700424,RESET,train,start over latent bot sample 8 alpha lane 8,True
-9.507826,-0.053226423,MOVE_LEFT,train,nudge the square rover one column left on alpha lane 7,True
7.5840654,2.7984204,MOVE_RIGHT,test,move the south cell sample 1 right on charlie lane 1,True
-0.042683296,2.5207648,ABSTAIN,train,move left and switch the light for quiet bot on alpha lane 24,False
7.986875,-0.8131358,MOVE_UP,test,north east cell charlie lane 3,True
9.645647,-0.75479686,ABSTAIN,train,do the usual grid thing for board piece on alpha lane 10,False
10.153494,-0.6334994,ABSTAIN,train,mervo the latent bot sample 8 sideways maybe on alpha lane 8,False
-6.1503944,2.4010305,MOVE_UP,train,move the center bot up on alpha lane 1,True
8.497373,3.1092606,ABSTAIN,train,move the toy agent up and then right on alpha lane 9,False
-10.119908,-0.35692024,MOVE_DOWN,train,nudge the square rover one row lower on alpha lane 7,True
-3.8912318,2.0965126,RESET,test,reset the board for the south cell on charlie lane 1,True
-1.487604,1.3284396,TOGGLE_LIGHT,validation,toggle the light for the green marker sample 1 on bravo lane 1,True
-5.3854275,-2.5875525,ABSTAIN,train,handle the demo bot somehow on alpha lane 5,False
8.03211,-0.46456438,ABSTAIN,test,handle the board reset sample 5 somehow on charlie lane 5,False
-13.572672,-0.57847404,MOVE_RIGHT,train,nudge the square rover sample 7 one column right on alpha lane 7,True
-1.9704448,2.1065204,MOVE_DOWN,train,move the center bot sample 1 down on alpha lane 1,True
-5.4100943,2.4098353,MOVE_RIGHT,train,move the center bot right on alpha lane 1,True
-12.954102,0.011113697,RESET,train,set the board back to default for demo bot on alpha lane 5,True
-0.925324,-1.3164002,MOVE_LEFT,train,west tiny robot sample 3 alpha lane 3,True
7.397772,-1.2762163,MOVE_DOWN,test,drop the west cell by a single cell on charlie lane 2,True
0.50964904,-1.6962227,MOVE_LEFT,train,one cell left latent bot alpha lane 8,True
4.688944,-0.63014203,MOVE_RIGHT,test,east east cell charlie lane 3,True
3.4028802,3.0903223,ABSTAIN,validation,move left and switch the light for floor marker sample 4 on bravo lane 4,False
11.143361,0.039079532,MOVE_DOWN,train,please move the grid cursor down on alpha lane 4,True
3.34925,4.1283417,MOVE_RIGHT,validation,move the green marker sample 1 right on bravo lane 1,True
-6.222421,-0.5691115,ABSTAIN,train,delete my files after moving orange cursor sample 17 on alpha lane 17,False
-14.170564,-0.97123504,ABSTAIN,train,flarn green marker sample 18 seven noodle axis on alpha lane 18,False
8.316117,2.9730904,MOVE_UP,test,move the south cell sample 1 up on charlie lane 1,True
4.896553,3.3501434,MOVE_LEFT,test,move the south cell left on charlie lane 1,True
-0.84455884,-0.89139616,TOGGLE_LIGHT,train,light switch latent bot alpha lane 8,True
10.026584,-2.73094,ABSTAIN,test,run a shell command for west cell on charlie lane 2,False
-7.9007087,0.1671668,MOVE_LEFT,train,shift the demo bot to the cell on its left on alpha lane 5,True
-8.778964,-0.04117631,MOVE_RIGHT,train,shift the demo bot to the cell on its right on alpha lane 5,True
2.615409,2.815514,MOVE_UP,train,move up with the control dot on alpha lane 6,True
-1.5521212,-0.56733245,TOGGLE_LIGHT,train,flip the light on the board for control dot on alpha lane 6,True
8.444515,-2.1064203,ABSTAIN,test,write a haiku about control sample on charlie lane 6,False
9.929538,-0.05639439,MOVE_RIGHT,train,please move the grid cursor right on alpha lane 4,True
6.264779,-0.57322085,MOVE_LEFT,test,west east cell charlie lane 3,True
-7.136122,-0.44840407,MOVE_DOWN,train,shift the demo bot sample 5 to the lower cell on alpha lane 5,True
-11.227019,0.27360824,ABSTAIN,train,disable security tools around square rover on alpha lane 7,False
0.82922137,-1.6044472,MOVE_LEFT,test,slide the west cell to the previous cell on charlie lane 2,True
-8.176493,-1.5065361,RESET,train,put the square rover sample 7 back at the starting cell on alpha lane 7,True
0.29926455,-1.9443469,MOVE_UP,train,one cell up latent bot sample 8 alpha lane 8,True
4.110812,-1.525884,MOVE_RIGHT,train,one cell right latent bot alpha lane 8,True
1.8857495,0.25547722,RESET,train,return the control dot board to start on alpha lane 6,True
14.826347,-1.7684519,ABSTAIN,train,what is the weather near center bot on alpha lane 1,False
9.648861,-0.6479805,MOVE_LEFT,train,please move the grid cursor sample 4 left on alpha lane 4,True
-0.5730177,-1.8733028,MOVE_DOWN,train,one cell down latent bot sample 8 alpha lane 8,True
8.179261,-0.8078307,ABSTAIN,train,go north then south with panel bot sample 19 on alpha lane 19,False
8.719304,2.8015878,ABSTAIN,test,move left and switch the light for lamp switch on charlie lane 4,False
-9.999701,-1.8886876,MOVE_LEFT,train,slide the blue marker to the previous cell on alpha lane 2,True
-9.077042,3.7022827,RESET,validation,reset the board for the green marker on bravo lane 1,True
-10.953705,-1.1753412,TOGGLE_LIGHT,train,invert the glow setting for blue marker on alpha lane 2,True
-5.365852,-2.1685734,MOVE_DOWN,train,drop the blue marker sample 2 by a single cell on alpha lane 2,True
-5.3817754,2.5806046,MOVE_LEFT,train,move the center bot left on alpha lane 1,True
12.09903,-0.40502268,MOVE_UP,train,please move the grid cursor sample 4 up on alpha lane 4,True
1.9238521,2.5094414,MOVE_DOWN,train,move down with the control dot on alpha lane 6,True
1.5817336,-0.80031836,MOVE_RIGHT,train,east tiny robot alpha lane 3,True
2.9135225,4.7181263,MOVE_UP,validation,move the green marker up on bravo lane 1,True
-9.426281,-1.1883469,ABSTAIN,train,zibble the lab robot through purple syntax on alpha lane 13,False
-10.052238,-0.22685927,MOVE_UP,train,nudge the square rover one row higher on alpha lane 7,True
